Date,Company,Role,Link,ATS score
09/10/22,Goldman Sachs,Quantitative Developer – Inventory Management Engineering,https://www.linkedin.com/jobs/view/externalApply/3109162998?url=https%3A%2F%2Fhdpc%2Efa%2Eus2%2Eoraclecloud%2Ecom%2FhcmUI%2FCandidateExperience%2Fen%2Fjob%2F80453%2F%3Futm_medium%3Djobshare%26mode%3Djob%26iis%3DLinkedIn&urlHash=pcS3&refId=vz%2FMeatcI5FrxQpY1qyb5Q%3D%3D&trackingId=tG%2BuqsFOhyGSV0jjSlsPOQ%3D%3D&trk=public_jobs_apply-link-offsite,0.94%
09/10/22,Goldman Sachs,Associate HCM4875953,https://www.linkedin.com/jobs/view/externalApply/2984651794?url=https%3A%2F%2Fhdpc%2Efa%2Eus2%2Eoraclecloud%2Ecom%2FhcmUI%2FCandidateExperience%2Fen%2Fjob%2F81534%2F%3Futm_medium%3Djobshare%26mode%3Djob%26iis%3DLinkedIn&urlHash=EpF3&refId=vz%2FMeatcI5FrxQpY1qyb5Q%3D%3D&trackingId=XUawUTijRzfQ3jy8YWkE2g%3D%3D&trk=public_jobs_apply-link-offsite,6.25%
09/10/22,Goldman Sachs,Transaction Banking - Cybersecurity Advisory Engineer - Associate,https://www.linkedin.com/jobs/view/externalApply/3029714713?url=https%3A%2F%2Fhdpc%2Efa%2Eus2%2Eoraclecloud%2Ecom%2FhcmUI%2FCandidateExperience%2Fen%2Fjob%2F90374%2F%3Futm_medium%3Djobshare%26mode%3Djob%26iis%3DLinkedIn&urlHash=aSkg&refId=vz%2FMeatcI5FrxQpY1qyb5Q%3D%3D&trackingId=m8iSempVM6%2BaogCD665N%2Bw%3D%3D&trk=public_jobs_apply-link-offsite,7.09%
09/10/22,Goldman Sachs,Engineering Strat - Associate/VP - GCEM (Global Currency and Emerging Markets),https://www.linkedin.com/jobs/view/externalApply/3223607508?url=https%3A%2F%2Fhdpc%2Efa%2Eus2%2Eoraclecloud%2Ecom%2FhcmUI%2FCandidateExperience%2Fen%2Fjob%2F104919%2F%3Futm_medium%3Djobshare%26mode%3Djob%26iis%3DLinkedIn&urlHash=Iut4&refId=vz%2FMeatcI5FrxQpY1qyb5Q%3D%3D&trackingId=9oFBOxNLA0VnmDrvKx7rTw%3D%3D&trk=public_jobs_apply-link-offsite,2.77%
09/10/22,Goldman Sachs,Asset Management Private - Business Intelligence Associate - Dallas,https://www.linkedin.com/jobs/view/externalApply/3239606751?url=https%3A%2F%2Fhdpc%2Efa%2Eus2%2Eoraclecloud%2Ecom%2FhcmUI%2FCandidateExperience%2Fen%2Fjob%2F89584%2F%3Futm_medium%3Djobshare%26mode%3Djob%26iis%3DLinkedIn&urlHash=vrGV&refId=vz%2FMeatcI5FrxQpY1qyb5Q%3D%3D&trackingId=9LEO4evpT8uMoNeXxGMi1g%3D%3D&trk=public_jobs_apply-link-offsite,1.69%
09/10/22,Goldman Sachs,Engineering- Site Reliability Engineer- VP- Menlo Park,https://www.linkedin.com/jobs/view/externalApply/2814205243?url=https%3A%2F%2Fhdpc%2Efa%2Eus2%2Eoraclecloud%2Ecom%2FhcmUI%2FCandidateExperience%2Fen%2Fjob%2F83218%2F%3Futm_medium%3Djobshare%26mode%3Djob%26iis%3DLinkedIn&urlHash=tW5o&refId=vz%2FMeatcI5FrxQpY1qyb5Q%3D%3D&trackingId=Fw5YaLYPH1EEFFjzRTMlaw%3D%3D&trk=public_jobs_apply-link-offsite,7.99%
09/10/22,Goldman Sachs,Internal Audit - Core Engineering Associate - Dallas TX,https://www.linkedin.com/jobs/view/externalApply/3073147712?url=https%3A%2F%2Fhdpc%2Efa%2Eus2%2Eoraclecloud%2Ecom%2FhcmUI%2FCandidateExperience%2Fen%2Fjob%2F101611%2F%3Futm_medium%3Djobshare%26mode%3Djob%26iis%3DLinkedIn&urlHash=Fopa&refId=vz%2FMeatcI5FrxQpY1qyb5Q%3D%3D&trackingId=C08Zb6YjPaS7l6PkwyKWOg%3D%3D&trk=public_jobs_apply-link-offsite,6.4%
09/10/22,Goldman Sachs,Product Manager in Compliance Engineering - Associate – New York,https://www.linkedin.com/jobs/view/externalApply/3223879186?url=https%3A%2F%2Fhdpc%2Efa%2Eus2%2Eoraclecloud%2Ecom%2FhcmUI%2FCandidateExperience%2Fen%2Fjob%2F99040%2F%3Futm_medium%3Djobshare%26mode%3Djob%26iis%3DLinkedIn&urlHash=_ReJ&refId=vz%2FMeatcI5FrxQpY1qyb5Q%3D%3D&trackingId=42N4pDb6blH8%2FVQ80Tk9gA%3D%3D&trk=public_jobs_apply-link-offsite,4.51%
09/10/22,Goldman Sachs,Commodities Structured Finance Investing & Lending Strats - Associate- NY,https://www.linkedin.com/jobs/view/externalApply/3246972752?url=https%3A%2F%2Fhdpc%2Efa%2Eus2%2Eoraclecloud%2Ecom%2FhcmUI%2FCandidateExperience%2Fen%2Fjob%2F105034%2F%3Futm_medium%3Djobshare%26mode%3Djob%26iis%3DLinkedIn&urlHash=byl0&refId=vz%2FMeatcI5FrxQpY1qyb5Q%3D%3D&trackingId=edud37VaN2k%2FlEoiaa8EeA%3D%3D&trk=public_jobs_apply-link-offsite,5.1%
09/10/22,Goldman Sachs,Executive Office- Software/Data Engineer Associate/Vice President - Global Marketing Brand Strategy & Research,https://www.linkedin.com/jobs/view/externalApply/3044019311?url=https%3A%2F%2Fhdpc%2Efa%2Eus2%2Eoraclecloud%2Ecom%2FhcmUI%2FCandidateExperience%2Fen%2Fjob%2F100386%2F%3Futm_medium%3Djobshare%26mode%3Djob%26iis%3DLinkedIn&urlHash=FlWJ&refId=vz%2FMeatcI5FrxQpY1qyb5Q%3D%3D&trackingId=NIk%2FUN2zDRcpEtm3d%2B7oBQ%3D%3D&trk=public_jobs_apply-link-offsite,4.9%
09/10/22,Goldman Sachs,Technical Product Manager - Associate - Marcus (CWM),https://www.linkedin.com/jobs/view/externalApply/3091037962?url=https%3A%2F%2Fhdpc%2Efa%2Eus2%2Eoraclecloud%2Ecom%2FhcmUI%2FCandidateExperience%2Fen%2Fjob%2F86132%2F%3Futm_medium%3Djobshare%26mode%3Djob%26iis%3DLinkedIn&urlHash=IzlV&refId=vz%2FMeatcI5FrxQpY1qyb5Q%3D%3D&trackingId=BPo7wCkFQAf9kZhmATNRhQ%3D%3D&trk=public_jobs_apply-link-offsite,3.85%
09/10/22,Goldman Sachs,Platform Data Engineer VP - Consumer and Wealth Mgmt Division,https://www.linkedin.com/jobs/view/externalApply/3046247537?url=https%3A%2F%2Fhdpc%2Efa%2Eus2%2Eoraclecloud%2Ecom%2FhcmUI%2FCandidateExperience%2Fen%2Fjob%2F99784%2F%3Futm_medium%3Djobshare%26mode%3Djob%26iis%3DLinkedIn&urlHash=f0bB&refId=vz%2FMeatcI5FrxQpY1qyb5Q%3D%3D&trackingId=pY3mL%2BDdpBKA5e8f2Nt4XQ%3D%3D&trk=public_jobs_apply-link-offsite,5.31%
