Company Name,Role,Job link, Similarity Score 
Amazon,Data Engineer Internship – 2023 (US),https://www.linkedin.com/jobs/view/externalApply/3179374214?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2141830%2Fdata-engineer-internship---us%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=grfi&refId=U93EhQbICY7OgXeoD8iFzg%3D%3D&trackingId=spPxedMNlrNpDrQUbw1k%2Bg%3D%3D&trk=public_jobs_apply-link-offsite,8.22%
Amazon,Product Design Engineer Internship Developing Engineers Program – 2023 (US),https://www.linkedin.com/jobs/view/externalApply/3179910331?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2141742%2Fproduct-design-engineer-internship-developing-engineers-program---us%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=OXm4&refId=U93EhQbICY7OgXeoD8iFzg%3D%3D&trackingId=089ChWdQVj1e7THkKavtNg%3D%3D&trk=public_jobs_apply-link-offsite,6.39%
Amazon,Hardware Development Engineer Internship – 2023 (US),https://www.linkedin.com/jobs/view/externalApply/3262873628?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2141725%2Fhardware-development-engineer-internship---us%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=WU1V&refId=U93EhQbICY7OgXeoD8iFzg%3D%3D&trackingId=%2FLKyLBJK6qtOraH3dSAFOA%3D%3D&trk=public_jobs_apply-link-offsite,5.89%
Amazon,Amazon Robotics - Software Development Engineer (SDE) Intern - Summer 2023,https://www.linkedin.com/jobs/view/externalApply/3024193076?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F1999770%2Famazon-robotics--software-development-engineer-sde-intern--summer-%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=Pji2&refId=U93EhQbICY7OgXeoD8iFzg%3D%3D&trackingId=vvYVphQBUZxlJU1mCFvYkg%3D%3D&trk=public_jobs_apply-link-offsite,7.34%
Amazon,Amazon Robotics - Data Engineer (DE) Intern - Summer 2023,https://www.linkedin.com/jobs/view/externalApply/3284384226?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2250893%2Famazon-robotics--data-engineer-de-intern--summer-%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=bNSH&refId=U93EhQbICY7OgXeoD8iFzg%3D%3D&trackingId=Iy43rtHa0R45Rng36w%2B%2FzA%3D%3D&trk=public_jobs_apply-link-offsite,15.53%
Amazon,Security Engineer Internship - 2023 (US),https://www.linkedin.com/jobs/view/externalApply/3226483579?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2141883%2Fsecurity-engineer-internship---us%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=9gVW&refId=U93EhQbICY7OgXeoD8iFzg%3D%3D&trackingId=g43yUJp2z1keI5AfL0ujNg%3D%3D&trk=public_jobs_apply-link-offsite,6.39%
Amazon,Amazon Robotics - Sensor Electrical Engineer Intern - Summer 2023 Amazon Robotics Sensor Team,https://www.linkedin.com/jobs/view/externalApply/3281727794?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2256314%2Famazon-robotics--sensor-electrical-engineer-intern--summer--amazon-robotics-sensor-team%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=mhEQ&refId=U93EhQbICY7OgXeoD8iFzg%3D%3D&trackingId=Mp%2BBdsNcxx%2F9xiKi38AxWQ%3D%3D&trk=public_jobs_apply-link-offsite,10.55%
Amazon,Application-Specific Integrated Circuit (ASIC) Engineer Internship – 2023 (US),https://www.linkedin.com/jobs/view/externalApply/3179376167?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2141738%2Fapplicationspecific-integrated-circuit-asic-engineer-internship---us%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=yG7y&refId=U93EhQbICY7OgXeoD8iFzg%3D%3D&trackingId=Q1EkgNpZ9PfCaovf4hCKEA%3D%3D&trk=public_jobs_apply-link-offsite,5.99%
Amazon,Product Design Engineer Internship – 2023 (US),https://www.linkedin.com/jobs/view/externalApply/3179914207?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2141741%2Fproduct-design-engineer-internship---us%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=31w9&refId=U93EhQbICY7OgXeoD8iFzg%3D%3D&trackingId=PF4bWPnir3yGX%2FCXFWPMfg%3D%3D&trk=public_jobs_apply-link-offsite,6.18%
Amazon,Amazon Robotics - Hardware Test Engineer Intern - Summer 2023,https://www.linkedin.com/jobs/view/externalApply/3287561723?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2253022%2Famazon-robotics--hardware-test-engineer-intern--summer-%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=wfXs&refId=U93EhQbICY7OgXeoD8iFzg%3D%3D&trackingId=wzxuAqmOkWC0Rudwo1ih4Q%3D%3D&trk=public_jobs_apply-link-offsite,8.06%
